"In","Age","Nat.","Position","Pos","Market value","Left","Left","Fee","Team","team_logo"
"Abdallah SimaA. Sima",24,NA,"Left Winger","LW","€9.00m",NA,"Stade Brestois","End of loan30.06.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"James BeadleJ. Beadle",21,NA,"Goalkeeper","GK","€5.00m",NA,"Birmingham","End of loan31.05.2026","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Malick YalcouyéM. Yalcouyé",19,NA,"Central Midfield","CM","€17.00m",NA,"Sturm Graz","End of loan30.06.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Julio EncisoJ. Enciso",21,NA,"Attacking Midfield","AM","€22.00m",NA,"Ipswich","End of loan30.06.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Andrew MoranA. Moran",22,NA,"Attacking Midfield","AM","€3.50m",NA,"LAFC","End of loan31.12.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Malick YalcouyéM. Yalcouyé",20,NA,"Central Midfield","CM","€17.00m",NA,"Swansea","End of loan31.05.2026","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Eiran CashinE. Cashin",24,NA,"Centre-Back","CB","€8.00m",NA,"Birmingham","End of loan31.05.2026","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Carl RushworthC. Rushworth",24,NA,"Goalkeeper","GK","€3.00m",NA,"Coventry","End of loan31.05.2026","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Valentín BarcoV. Barco",20,NA,"Central Midfield","CM","€12.00m",NA,"R. Strasbourg","End of loan30.06.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Stefanos TzimasS. Tzimas",19,NA,"Centre-Forward","CF","€22.00m",NA,"1.FC Nuremberg","End of loan30.06.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Evan FergusonE. Ferguson",20,NA,"Centre-Forward","CF","€25.00m",NA,"West Ham","End of loan30.06.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Kjell ScherpenK. Scherpen",25,NA,"Goalkeeper","GK","€5.00m",NA,"Sturm Graz","End of loan30.06.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Amario Cozier-DuberryA. Cozier-Duberry",21,NA,"Right Winger","RW","€2.00m",NA,"Bolton","End of loan31.05.2026","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Lesley UgochukwuL. Ugochukwu",21,NA,"Defensive Midfield","DM","€18.00m",NA,"Chelsea","€28.70m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Armando BrojaA. Broja",23,NA,"Centre-Forward","CF","€12.00m",NA,"Chelsea","€23.00m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Loum TchaounaL. Tchaouna",21,NA,"Right Winger","RW","€10.00m",NA,"Lazio","€15.15m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Bashir HumphreysB. Humphreys",22,NA,"Left-Back","LB","€7.00m",NA,"Chelsea","€14.00m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Quilindschy HartmanQ. Hartman",23,NA,"Left-Back","LB","€14.00m",NA,"Feyenoord","€10.00m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Marcus EdwardsM. Edwards",26,NA,"Right Winger","RW","€12.00m",NA,"Sporting","€10.00m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Jaidon AnthonyJ. Anthony",25,NA,"Left Winger","LW","€9.00m",NA,"Bournemouth","€9.50m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Zian FlemmingZ. Flemming",26,NA,"Centre-Forward","CF","€6.50m",NA,"Millwall","€8.30m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Max WeißMax Weiß",21,NA,"Goalkeeper","GK","€4.00m",NA,"Karlsruher SC","€4.00m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Jacob Bruun LarsenJ. Bruun Larsen",26,NA,"Left Winger","LW","€5.00m",NA,"Stuttgart","€4.00m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"FlorentinoFlorentino",26,NA,"Defensive Midfield","DM","€22.00m",NA,"Benfica","Loan fee:€2.00m","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Axel TuanzebeA. Tuanzebe",27,NA,"Right-Back","RB","€5.00m",NA,"Ipswich","free transfer","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
